sample,run_accession,instrument_platform,fastq_1,fastq_2,fasta
NCFB_001,SRX7845579_SRR11233734,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX7845579_SRR11233734_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX7845579_SRR11233734_2.fastq.gz,
NCFB_002,SRX7845580_SRR11233733,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX7845580_SRR11233733_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX7845580_SRR11233733_2.fastq.gz,
NCFB_003,SRX8222629_SRR11661744,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222629_SRR11661744_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222629_SRR11661744_2.fastq.gz,
NCFB_004,SRX8222630_SRR11661743,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222630_SRR11661743_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222630_SRR11661743_2.fastq.gz,
NCFB_005,SRX8222631_SRR11661742,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222631_SRR11661742_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222631_SRR11661742_2.fastq.gz,
NCFB_006,SRX8222632_SRR11661741,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222632_SRR11661741_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222632_SRR11661741_2.fastq.gz,
NCFB_007,SRX8222633_SRR11661740,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222633_SRR11661740_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222633_SRR11661740_2.fastq.gz,
NCFB_008,SRX8222634_SRR11661739,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222634_SRR11661739_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222634_SRR11661739_2.fastq.gz,
NCFB_009,SRX8222635_SRR11661738,ILLUMINA,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222635_SRR11661738_1.fastq.gz,/project/60006/mdprieto/raw_data/cf_seed/ncfb_data/fastq/SRX8222635_SRR11661738_2.fastq.gz,
